"TA-TAD","Property_Type","House_Index","Date"
"New Zealand","All dwellings","1434","2010-09-30"
"New Zealand","Houses","1446","2010-09-30"
"Main Urban Areas","All dwellings","1392","2010-09-30"
"Main Urban Areas","Houses","1400","2010-09-30"
"Auckland Area","All dwellings","1337","2010-09-30"
"Auckland Area","Houses","1338","2010-09-30"
"Wellington Area","All dwellings","1467","2010-09-30"
"Wellington Area","Houses","1489","2010-09-30"
"Far North District","Houses","1486","2010-09-30"
"Far North District","All dwellings","1560","2010-09-30"
"Whangarei District","All dwellings","1564","2010-09-30"
"Whangarei District","Houses","1592","2010-09-30"
"Kaipara District","All dwellings","1592","2010-09-30"
"Kaipara District","Houses","1694","2010-09-30"
"Rodney District","Houses","1424","2010-09-30"
"Rodney District","All dwellings","1426","2010-09-30"
"North Shore City","Houses","1389","2010-09-30"
"North Shore City","All dwellings","1394","2010-09-30"
"Waitakere City","All dwellings","1403","2010-09-30"
"Waitakere City","Houses","1408","2010-09-30"
"Auckland City","All dwellings","1239","2010-09-30"
"Auckland City","Houses","1276","2010-09-30"
"Manukau City","Houses","1428","2010-09-30"
"Manukau City","All dwellings","1439","2010-09-30"
"Papakura District","Houses","1415","2010-09-30"
"Papakura District","All dwellings","1467","2010-09-30"
"Franklin District","All dwellings","1629","2010-09-30"
"Franklin District","Houses","1632","2010-09-30"
"Thames-Coromandel District","All dwellings","1289","2010-09-30"
"Thames-Coromandel District","Houses","1317","2010-09-30"
"Hauraki District","All dwellings","1742","2010-09-30"
"Hauraki District","Houses","1747","2010-09-30"
"Waikato District","All dwellings","1765","2010-09-30"
"Waikato District","Houses","1778","2010-09-30"
"Matamata-Piako District","All dwellings","1830","2010-09-30"
"Matamata-Piako District","Houses","1876","2010-09-30"
"Hamilton City","All dwellings","1576","2010-09-30"
"Hamilton City","Houses","1606","2010-09-30"
"Waipa District","All dwellings","1790","2010-09-30"
"Waipa District","Houses","1811","2010-09-30"
"Otorohanga District","All dwellings","1998","2010-09-30"
"Otorohanga District","Houses","2047","2010-09-30"
"South Waikato District","All dwellings","2017","2010-09-30"
"South Waikato District","Houses","2080","2010-09-30"
"Waitomo District","All dwellings","1882","2010-09-30"
"Waitomo District","Houses","1948","2010-09-30"
"Taupo District","All dwellings","1198","2010-09-30"
"Taupo District","Houses","1269","2010-09-30"
"Western Bay of Plenty District","All dwellings","1540","2010-09-30"
"Western Bay of Plenty District","Houses","1639","2010-09-30"
"Tauranga City","Houses","1273","2010-09-30"
"Tauranga City","All dwellings","1302","2010-09-30"
"Rotorua District","All dwellings","1605","2010-09-30"
"Rotorua District","Houses","1632","2010-09-30"
"Whakatane District","Houses","1514","2010-09-30"
"Whakatane District","All dwellings","1626","2010-09-30"
"Kawerau District","All dwellings","1866","2010-09-30"
"Kawerau District","Houses","1872","2010-09-30"
"Opotiki District","Houses","1457","2010-09-30"
"Opotiki District","All dwellings","1803","2010-09-30"
"Gisborne District","All dwellings","1774","2010-09-30"
"Gisborne District","Houses","1870","2010-09-30"
"Wairoa District","All dwellings","1632","2010-09-30"
"Wairoa District","Houses","1712","2010-09-30"
"Hastings District","Houses","1436","2010-09-30"
"Hastings District","All dwellings","1455","2010-09-30"
"Napier City","Houses","1334","2010-09-30"
"Napier City","All dwellings","1345","2010-09-30"
"Central Hawkes Bay District","Houses","1368","2010-09-30"
"Central Hawkes Bay District","All dwellings","1377","2010-09-30"
"New Plymouth District","Houses","1724","2010-09-30"
"New Plymouth District","All dwellings","1764","2010-09-30"
"Stratford District","All dwellings","2464","2010-09-30"
"Stratford District","Houses","2579","2010-09-30"
"South Taranaki District","All dwellings","2011","2010-09-30"
"South Taranaki District","Houses","2069","2010-09-30"
"Ruapehu District","All dwellings","2411","2010-09-30"
"Ruapehu District","Houses","2454","2010-09-30"
"Wanganui District","All dwellings","1965","2010-09-30"
"Wanganui District","Houses","2069","2010-09-30"
"Rangitikei District","All dwellings","1928","2010-09-30"
"Rangitikei District","Houses","1947","2010-09-30"
"Manawatu District","Houses","1729","2010-09-30"
"Manawatu District","All dwellings","1758","2010-09-30"
"Palmerston North City","All dwellings","1523","2010-09-30"
"Palmerston North City","Houses","1528","2010-09-30"
"Tararua District","All dwellings","1802","2010-09-30"
"Tararua District","Houses","1854","2010-09-30"
"Horowhenua District","All dwellings","1692","2010-09-30"
"Horowhenua District","Houses","1721","2010-09-30"
"Kapiti Coast District","All dwellings","1550","2010-09-30"
"Kapiti Coast District","Houses","1560","2010-09-30"
"Porirua City","All dwellings","1586","2010-09-30"
"Porirua City","Houses","1609","2010-09-30"
"Upper Hutt City","Houses","1628","2010-09-30"
"Upper Hutt City","All dwellings","1678","2010-09-30"
"Lower Hutt City","All dwellings","1552","2010-09-30"
"Lower Hutt City","Houses","1558","2010-09-30"
"Wellington City","All dwellings","1386","2010-09-30"
"Wellington City","Houses","1423","2010-09-30"
"Masterton District","All dwellings","1522","2010-09-30"
"Masterton District","Houses","1551","2010-09-30"
"Carterton District","Houses","1639","2010-09-30"
"Carterton District","All dwellings","1656","2010-09-30"
"South Wairarapa District","Houses","1559","2010-09-30"
"South Wairarapa District","All dwellings","1571","2010-09-30"
"Tasman District","All dwellings","1180","2010-09-30"
"Tasman District","Houses","1191","2010-09-30"
"Nelson City","All dwellings","1131","2010-09-30"
"Nelson City","Houses","1135","2010-09-30"
"Marlborough District","All dwellings","1316","2010-09-30"
"Marlborough District","Houses","1335","2010-09-30"
"Kaikoura District","All dwellings","1318","2010-09-30"
"Kaikoura District","Houses","1362","2010-09-30"
"Buller District","Houses","2009","2010-09-30"
"Buller District","All dwellings","2160","2010-09-30"
"Grey District","All dwellings","2146","2010-09-30"
"Grey District","Houses","2149","2010-09-30"
"Westland District","All dwellings","2059","2010-09-30"
"Westland District","Houses","2130","2010-09-30"
"Hurunui District","Houses","1774","2010-09-30"
"Hurunui District","All dwellings","1793","2010-09-30"
"Waimakariri District","All dwellings","1569","2010-09-30"
"Waimakariri District","Houses","1570","2010-09-30"
"Christchurch City","All dwellings","1542","2010-09-30"
"Christchurch City","Houses","1543","2010-09-30"
"Selwyn District","Houses","1866","2010-09-30"
"Selwyn District","All dwellings","1973","2010-09-30"
"Ashburton District","All dwellings","1765","2010-09-30"
"Ashburton District","Houses","1802","2010-09-30"
"Timaru District","All dwellings","1789","2010-09-30"
"Timaru District","Houses","1852","2010-09-30"
"MacKenzie District","Houses","1724","2010-09-30"
"MacKenzie District","All dwellings","1748","2010-09-30"
"Waimate District","All dwellings","2012","2010-09-30"
"Waimate District","Houses","2076","2010-09-30"
"Waitaki District","All dwellings","1508","2010-09-30"
"Waitaki District","Houses","1615","2010-09-30"
"Invercargill City","All dwellings","1714","2010-09-30"
"Southland District","Houses","1708","2010-09-30"
"Southland District","All dwellings","1670","2010-09-30"
"Central Otago District","All dwellings","1426","2010-09-30"
