"Estimated Resident Population (Mean Quarter Ended) by Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)",""
"","Total"
"1991Q1",3481500
"1991Q2",3491500
"1991Q3",3499900
"1991Q4",3510300
"1992Q1",3521300
"1992Q2",3529100
"1992Q3",3535600
"1992Q4",3545900
"1993Q1",3558300
"1993Q2",3568300
"1993Q3",3577500
"1993Q4",3590400
"1994Q1",3604700
"1994Q2",3615700
"1994Q3",3625900
"1994Q4",3640100
"1995Q1",3656000
"1995Q2",3668500
"1995Q3",3681000
"1995Q4",3697700
"1996Q1",3715000
"1996Q2",3727700
"1996Q3",3738800
"1996Q4",3753900
"1997Q1",3768800
"1997Q2",3778300
"1997Q3",3786300
"1997Q4",3797000
"1998Q1",3807000
"1998Q2",3813100
"1998Q3",3818000
"1998Q4",3825100
"1999Q1",3831100
"1999Q2",3834000
"1999Q3",3838100
"1999Q4",3846100
"2000Q1",3853500
"2000Q2",3856800
"2000Q3",3861300
"2000Q4",3869000
"2001Q1",3874700
"2001Q2",3878400
"2001Q3",3887900
"2001Q4",3905800
"2002Q1",3925900
"2002Q2",3942100
"2002Q3",3958000
"2002Q4",3978600
"2003Q1",4001400
"2003Q2",4020300
"2003Q3",4035900
"2003Q4",4053100
"2004Q1",4070200
"2004Q2",4083100
"2004Q3",4094100
"2004Q4",4107500
"2005Q1",4120500
"2005Q2",4130200
"2005Q3",4139900
"2005Q4",4153500
"2006Q1",4168500
"2006Q2",4180300
"2006Q3",4190000
"2006Q4",4202300
"2007Q1",4214300
"2007Q2",4221600
"2007Q3",4229000
"2007Q4",4240000
"2008Q1",4250700
"2008Q2",4257700
"2008Q3",4264700
"2008Q4",4274900
"2009Q1",4286900
"2009Q2",4298000
"2009Q3",4309900
"2009Q4",4324700
"2010Q1",4338900
"2010Q2",4348200
"2010Q3",4356700
"2010Q4",4368300
"2011Q1",4378200
"2011Q2",4383200
"2011Q3",4388000
"2011Q4",4395700
"2012Q1",4402900
"2012Q2",4407300
"2012Q3",4411800
"2012Q4",4420700
"2013Q1",4430900
"2013Q2",4439000
"2013Q3",4449900
"2013Q4",4466800
"2014Q1",4485900
"2014Q2",4502900
"2014Q3",4520700
"2014Q4",4543100
"2015Q1",4567300
"2015Q2",4588400
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DPE059AA"
""
"Last updated:"
"14 August 2015 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
